form_name,active,condition_surveycomplete_form_name,condition_andor,condition_logic,auto_start
screening_survey,1,consent_baseline,AND,,1
sms_verification,1,screening_survey,AND,"[phone_number]<>""""",1
screening_result,1,sms_verification,AND,"[phone_number]<>""""",1
eligibile,1,screening_result,AND,"[screening_pass]='1' and [sp_wait_pls]<>'1'",1
survey_perception_substance_use,1,eligibile,AND,,1
family_history_and_asi,1,survey_perception_substance_use,AND,,1
visual_ch_task,1,family_history_and_asi,AND,,1
prl_task,1,visual_ch_task,AND,,1
auditory_ch_task,1,prl_task,AND,,1
spacejunk_game,1,auditory_ch_task,OR,,1
validity_checks,1,spacejunk_game,OR,,1
hyperacute_presurvey,1,validity_checks,AND,,1
visual_ch_task_hyp,1,hyperacute_presurvey,AND,,1
probabilistic_reversal_task_hyp,1,visual_ch_task_hyp,AND,,1
auditory_ch_task_hyp,1,probabilistic_reversal_task_hyp,AND,,1
space_junk_hyp,1,auditory_ch_task_hyp,AND,,1
hyperacute_postsurvey,1,validity_checks,AND,,1
acute_presurvey,1,validity_checks,AND,,1
visual_ch_task_acu,1,acute_presurvey,AND,,1
probabilistic_reversal_task_acu,1,visual_ch_task_acu,AND,,1
auditory_ch_task_acu,1,probabilistic_reversal_task_acu,AND,,1
space_junk_acu,1,auditory_ch_task_acu,AND,,1
acute_postsurvey,1,space_junk_acu,AND,,1
subacute_presurvey,1,acute_postsurvey,OR,[hyperacute_postsurvey_complete]>'0',1
visual_ch_task_sub,1,subacute_presurvey,OR,,1
probabilistic_reversal_task_sub,1,visual_ch_task_sub,AND,,1
auditory_ch_task_sub,1,probabilistic_reversal_task_sub,AND,,1
space_junk_sub,1,auditory_ch_task_sub,AND,,1
subacute_postsurvey,1,space_junk_sub,AND,,1
persisting_presurvey,1,acute_postsurvey,OR,[hyperacute_postsurvey_complete]>'0',1
visual_ch_task_pers,1,persisting_presurvey,AND,,1
probabilistic_reversal_task_pers,1,visual_ch_task_pers,AND,,1
auditory_ch_task_pers,1,probabilistic_reversal_task_pers,AND,,1
space_junk_pers,1,space_junk_hyp,AND,,1
persisting_postsurvey,1,space_junk_pers,AND,,1
